,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
188,4747,19023,2096,4091,10,Região X,15,15,0,0,16,2024,1,Ação Físico,2024,1
189,4748,19025,2024,2019,1,Região I,6333,6333,0,0,25590,2024,1,Ação Físico,2024,1
190,4748,19025,2024,2019,2,Região II,4871,4871,0,0,18671,2024,1,Ação Físico,2024,1
191,4748,19025,2024,2019,3,Região III,3589,3589,0,0,15164,2024,1,Ação Físico,2024,1
192,4748,19025,2024,2019,4,Região IV,3294,3294,0,0,13327,2024,1,Ação Físico,2024,1
193,4748,19025,2024,2019,5,Região V,6756,6756,0,0,25635,2024,1,Ação Físico,2024,1
194,4748,19025,2024,2019,6,Região VI,5531,5531,0,0,23992,2024,1,Ação Físico,2024,1
195,4748,19025,2024,2019,7,Região VII,3004,3004,0,0,12435,2024,1,Ação Físico,2024,1
196,4748,19025,2024,2019,8,Região VIII,4851,4851,0,0,19293,2024,1,Ação Físico,2024,1
197,4748,19025,2024,2019,9,Região IX,1776,1776,0,0,8736,2024,1,Ação Físico,2024,1
198,4748,19025,2024,2019,10,Região X,1287,1287,0,0,5605,2024,1,Ação Físico,2024,1
199,4749,15001,1015,2087,1,Região I,5,5,0,0,5,2024,1,Ação Físico,2024,1
200,4749,15001,1015,2087,2,Região II,3,3,0,0,3,2024,1,Ação Físico,2024,1
201,4749,15001,1015,2087,3,Região III,2,2,0,0,2,2024,1,Ação Físico,2024,1
202,4749,15001,1015,2087,4,Região IV,1,1,0,0,1,2024,1,Ação Físico,2024,1
203,4749,15001,1015,2087,5,Região V,2,2,0,0,2,2024,1,Ação Físico,2024,1
204,4749,15001,1015,2087,6,Região VI,2,2,0,0,2,2024,1,Ação Físico,2024,1
205,4749,15001,1015,2087,7,Região VII,2,2,0,0,2,2024,1,Ação Físico,2024,1
206,4749,15001,1015,2087,8,Região VIII,1,1,0,0,1,2024,1,Ação Físico,2024,1
207,4749,15001,1015,2087,9,Região IX,1,1,0,0,1,2024,1,Ação Físico,2024,1
208,4749,15001,1015,2087,10,Região X,1,1,0,0,1,2024,1,Ação Físico,2024,1
209,4751,19025,2024,4234,1,Região I,89,89,0,0,83,2024,1,Ação Físico,2024,1
210,4751,19025,2024,4234,2,Região II,58,58,0,0,58,2024,1,Ação Físico,2024,1
211,4751,19025,2024,4234,3,Região III,50,50,0,0,48,2024,1,Ação Físico,2024,1
212,4751,19025,2024,4234,4,Região IV,79,79,0,0,72,2024,1,Ação Físico,2024,1
213,4751,19025,2024,4234,5,Região V,91,91,0,0,93,2024,1,Ação Físico,2024,1
214,4751,19025,2024,4234,6,Região VI,64,64,0,0,61,2024,1,Ação Físico,2024,1
215,4751,19025,2024,4234,7,Região VII,51,51,0,0,49,2024,1,Ação Físico,2024,1
216,4751,19025,2024,4234,8,Região VIII,69,69,0,0,64,2024,1,Ação Físico,2024,1
217,4751,19025,2024,4234,9,Região IX,26,26,0,0,28,2024,1,Ação Físico,2024,1
218,4751,19025,2024,4234,10,Região X,22,22,0,0,20,2024,1,Ação Físico,2024,1
219,4752,19025,2024,4091,1,Região I,89,89,0,0,83,2024,1,Ação Físico,2024,1
220,4752,19025,2024,4091,2,Região II,58,58,0,0,58,2024,1,Ação Físico,2024,1
221,4752,19025,2024,4091,3,Região III,50,50,0,0,48,2024,1,Ação Físico,2024,1
222,4752,19025,2024,4091,4,Região IV,79,79,0,0,72,2024,1,Ação Físico,2024,1
